symbol,current_price,currency,beta,smb_score,hml_score,rmw_score,cma_score,volatility,composite_score,market_cap,pbr,market_cap_usd
PGR,286.81500244140625,USD,0.4,-1,-1,0,0,0.24792395555521252,-0.28,166787000000.0,5.76,166787000000.0
PGRE,6.119999885559082,USD,1.34,1,1,0,0,0.3473564870864307,0.802,1463000000.0,0.44,1463000000.0
PGY,17.2549991607666,USD,2.78,1,-1,1,-1,0.9789872394674909,0.8340000000000001,1306000000.0,3.87,1306000000.0
PGYWW,0.16500000655651093,USD,4.541,-1,-1,0,0,0.2840498866261964,0.9623000000000002,98000000000000.0,4.57,98000000000000.0
PGZ,10.460000038146973,USD,3.16,1,1,0,1,0.1264840064785076,1.4979999999999998,69619000.0,0.88,69619000.0
PH,665.8800048828125,USD,1.34,-1,-1,0,0,0.3469252130206661,0.0020000000000000018,84935000000.0,6.34,84935000000.0
PHAR,12.370100021362305,USD,0.44,1,-1,0,-1,0.6862192710113043,-0.017999999999999988,685983000.0,3.1,685983000.0
PHAT,4.815000057220459,USD,1.0,0,0,0,-1,1.0113498361630582,0.15,N/A,N/A,
PHD,9.765000343322754,USD,1.0,0,0,0,1,0.1247292297060346,0.44999999999999996,N/A,N/A,
PHG,23.010000228881836,USD,0.86,-1,0,0,0,0.358437097773399,0.057999999999999996,22595000000.0,1.7,22595000000.0
PHGE,0.49000000953674316,USD,1.52,1,0,0,-1,0.934681597742603,0.5059999999999999,14101000.0,2.45,14101000.0
PHH,13.510000228881836,USD,3.5,1,0,1,-1,1.3726034156704991,1.25,349988000.0,2.38,349988000.0
PHI,22.309999465942383,USD,1.0,0,0,0,0,0.22797326359378361,0.3,5079000000.0,2.47,5079000000.0
PHIN,42.779998779296875,USD,4.28,1,0,0,0,0.38792565532380435,1.484,1711000000.0,1.11,1711000000.0
PHIO,2.0799999237060547,USD,4.91,1,1,1,-1,3.2003974413361176,1.8730000000000002,9356000.0,0.67,9356000.0
PHK,4.789999961853027,USD,1.0,0,0,0,1,0.11724716657057822,0.44999999999999996,N/A,N/A,
PHLT,3.140000104904175,USD,0.15,1,0,0,-1,0.544351442012664,0.095,202819000.0,2.6,202819000.0
PHM,100.2249984741211,USD,1.3,-1,0,0,0,0.3409283324987086,0.19,19776000000.0,1.61,19776000000.0
PHR,25.575000762939453,USD,0.68,1,-1,0,-1,0.5210688135767649,0.05400000000000002,1534000000.0,5.25,1534000000.0
PHT,7.980000019073486,USD,1.0,0,0,0,1,0.12324048139621387,0.44999999999999996,N/A,N/A,
PHUN,2.934999942779541,USD,0.94,1,1,0,-1,1.155625885874275,0.5319999999999999,63134000.0,0.59,63134000.0
PHVS,17.040000915527344,USD,1.0,0,0,0,-1,0.6517691809773026,0.15,N/A,N/A,
PHX,4.321300029754639,USD,1.0,1,0,0,0,0.37314487708464356,0.5,163825000.0,1.3,163825000.0
PI,120.30999755859375,USD,1.64,0,1,0,-1,0.6645133091712554,0.5419999999999999,3307000000.0,0.86,3307000000.0
PII,41.349998474121094,USD,1.04,0,0,0,-1,0.4944501289062468,0.162,2279000000.0,1.74,2279000000.0
PIII,6.924799919128418,USD,0.83,1,1,0,-1,0.9271164361112203,0.499,1379000000.0,0.35,1379000000.0
PIM,3.3450000286102295,USD,1.0,0,0,0,1,0.1020110342582076,0.44999999999999996,N/A,N/A,
PINC,23.190000534057617,USD,0.53,1,0,0,0,0.31358844691017984,0.359,1931000000.0,1.23,1931000000.0
PINE,15.454999923706055,USD,0.63,1,1,0,0,0.23004480646419087,0.589,236387000.0,0.9,236387000.0
PINS,33.6349983215332,USD,0.91,-1,-1,0,-1,0.5033696629187568,-0.277,22633000000.0,4.78,22633000000.0
